global_step,step_loss,wandb_step,job_id,run_id,job_order,role,token_exposure,smooth_loss,progress_pct,compute_flops_dmon
10,7.780694007873535,,4523773,tzcobly9,0,primary,16640000.0,7.780694007873535,0.0003960134121822438,1.4478464e+17
130,6.729353427886963,,4523773,tzcobly9,0,primary,216320000.0,7.7438970875740045,0.0051481743583691696,1.88220032e+18
240,5.3396430015563965,,4523773,tzcobly9,0,primary,399360000.0,7.659748194563388,0.009504321892373851,3.47483136e+18
360,4.4015350341796875,,4523773,tzcobly9,0,primary,599040000.0,7.545710733949958,0.014256482838560776,5.21224704e+18
480,3.8183975219726562,,4523773,tzcobly9,0,primary,798720000.0,7.415254771530752,0.019008643784747703,6.94966272e+18
600,3.487004041671753,,4523773,tzcobly9,0,primary,998400000.0,7.277765995985687,0.02376080473093463,8.6870784e+18
710,3.174640655517578,,4523773,tzcobly9,0,primary,1181440000.0,7.134156609069303,0.02811695226493931,1.027970944e+19
820,2.9126832485198975,,4523773,tzcobly9,0,primary,1364480000.0,6.986405041450074,0.03247309979894399,1.187234048e+19
940,2.7888541221618652,,4523773,tzcobly9,0,primary,1564160000.0,6.8394907592749865,0.03722526074513092,1.360975616e+19
1060,2.5957937240600586,,4523773,tzcobly9,0,primary,1763840000.0,6.690961363042464,0.041977421691317844,1.534717184e+19
1170,2.5418155193328857,,4523773,tzcobly9,0,primary,1946880000.0,6.545741258512629,0.04633356922532252,1.693980288e+19
1290,2.4567692279815674,,4523773,tzcobly9,0,primary,2146560000.0,6.402627237444041,0.05108573017150945,1.867721856e+19
1410,2.3185527324676514,,4523773,tzcobly9,0,primary,2346240000.0,6.259684629769867,0.055837891117696374,2.041463424e+19
1530,2.1106388568878174,,4523773,tzcobly9,0,primary,2545920000.0,6.114468027718996,0.0605900520638833,2.215204992e+19
1650,1.9439033269882202,,4523773,tzcobly9,0,primary,2745600000.0,5.9684982631934185,0.06534221301007022,2.38894656e+19
1760,1.8529701232910156,,4523773,tzcobly9,0,primary,2928640000.0,5.824454778296834,0.06969836054407491,2.548209664e+19
1870,1.745095133781433,,4523773,tzcobly9,0,primary,3111680000.0,5.681677190738795,0.07405450807807959,2.707472768e+19
1900,1.7095638513565063,,4523773,tzcobly9,0,primary,3161600000.0,5.542653223860415,0.07524254831462632,2.75090816e+19
2020,1.6588497161865234,,4523773,tzcobly9,0,primary,3361280000.0,5.406720101091829,0.07999470926081324,2.924649728e+19
2130,1.49274480342865,,4523773,tzcobly9,0,primary,3544320000.0,5.2697309656736175,0.08435085679481792,3.083912832e+19
2240,1.4468039274215698,,4523773,tzcobly9,0,primary,3727360000.0,5.135928519334795,0.08870700432882261,3.243175936e+19
2350,1.4354195594787598,,4523773,tzcobly9,0,primary,3910400000.0,5.006410705739834,0.09306315186282729,3.40243904e+19
2460,1.4639047384262085,,4523773,tzcobly9,0,primary,4093440000.0,4.882422996883857,0.09741929939683197,3.561702144e+19
2580,1.3327611684799194,,4523773,tzcobly9,0,primary,4293120000.0,4.758184832889719,0.1021714603430189,3.735443712e+19
2690,1.199300765991211,,4523773,tzcobly9,0,primary,4476160000.0,4.633623890548271,0.10652760787702358,3.894706816e+19
2800,1.1653153896331787,,4523773,tzcobly9,0,primary,4659200000.0,4.512233093016242,0.11088375541102827,4.05396992e+19
2910,1.0718789100646973,,4523773,tzcobly9,0,primary,4842240000.0,4.391820696612938,0.11523990294503295,4.213233024e+19
3020,1.0585800409317017,,4523773,tzcobly9,0,primary,5025280000.0,4.275157273664095,0.11959605047903762,4.372496128e+19
3130,1.0126011371612549,,4523773,tzcobly9,0,primary,5208320000.0,4.160967808886496,0.1239521980130423,4.531759232e+19
3240,0.9707350730895996,,4523773,tzcobly9,0,primary,5391360000.0,4.049309663133604,0.12830834554704698,4.691022336e+19
3350,0.9788259863853455,,4523773,tzcobly9,0,primary,5574400000.0,3.9418427344474147,0.13266449308105166,4.85028544e+19
3460,0.9494323134422302,,4523773,tzcobly9,0,primary,5757440000.0,3.837108369712233,0.13702064061505634,5.009548544e+19
3540,0.8721944689750671,,4523773,tzcobly9,0,primary,5890560000.0,3.733336383186432,0.1401887479125143,5.125376256e+19
3660,0.8916847109794617,,4523773,tzcobly9,0,primary,6090240000.0,3.633878574659188,0.14494090885870123,5.299117824e+19
3780,0.9468065500259399,,4523773,tzcobly9,0,primary,6289920000.0,3.539831053797024,0.14969306980488814,5.472859392e+19
3890,0.8649955987930298,,4523773,tzcobly9,0,primary,6472960000.0,3.4462118128718844,0.15404921733889285,5.632122496e+19
4000,0.8884789347648621,,4523773,tzcobly9,0,primary,6656000000.0,3.3566911621381386,0.15840536487289752,5.7913856e+19
4110,0.8535494208335876,,4523773,tzcobly9,0,primary,6839040000.0,3.269081201192479,0.1627615124069022,5.950648704e+19
4220,0.8280643820762634,,4523773,tzcobly9,0,primary,7022080000.0,3.1836456125234114,0.16711765994090688,6.109911808e+19
4330,0.9044069647789001,,4523773,tzcobly9,0,primary,7205120000.0,3.1038722598523534,0.17147380747491156,6.269174912e+19
4440,0.8613194823265076,,4523773,tzcobly9,0,primary,7388160000.0,3.025382912638949,0.17582995500891624,6.428438016e+19
4550,0.803543746471405,,4523773,tzcobly9,0,primary,7571200000.0,2.947618541823085,0.18018610254292092,6.58770112e+19
4660,0.84333735704422,,4523773,tzcobly9,0,primary,7754240000.0,2.8739687003558245,0.1845422500769256,6.746964224e+19
4770,0.8375189900398254,,4523773,tzcobly9,0,primary,7937280000.0,2.8026929604947646,0.18889839761093027,6.906227328e+19
4880,0.7621199488639832,,4523773,tzcobly9,0,primary,8120320000.0,2.731272905087687,0.19325454514493498,7.065490432e+19
4990,0.7690799236297607,,4523773,tzcobly9,0,primary,8303360000.0,2.66259615073666,0.19761069267893966,7.224753536e+19
5100,0.7992789149284363,,4523773,tzcobly9,0,primary,8486400000.0,2.5973800474833717,0.20196684021294434,7.38401664e+19
5190,0.7901688814163208,,4523773,tzcobly9,0,primary,8636160000.0,2.534127656671025,0.20553096092258452,7.514322816e+19
5310,0.8259355425834656,,4523773,tzcobly9,0,primary,8835840000.0,2.4743409326779604,0.21028312186877146,7.688064384e+19
5420,0.7389441728591919,,4523773,tzcobly9,0,primary,9018880000.0,2.4136020460843035,0.21463926940277614,7.847327488e+19
5540,0.7301624417304993,,4523773,tzcobly9,0,primary,9218560000.0,2.3546816599319205,0.21939143034896305,8.021069056e+19
5650,0.7668671011924744,,4523773,tzcobly9,0,primary,9401600000.0,2.29910815037604,0.22374757788296773,8.18033216e+19
5760,0.7574847340583801,,4523773,tzcobly9,0,primary,9584640000.0,2.245151330804922,0.2281037254169724,8.339595264e+19
5870,0.7172185182571411,,4523773,tzcobly9,0,primary,9767680000.0,2.1916736823657494,0.23245987295097711,8.498858368e+19
5980,0.7377929091453552,,4523773,tzcobly9,0,primary,9950720000.0,2.1407878553030355,0.2368160204849818,8.658121472e+19
6090,0.7507854104042053,,4523773,tzcobly9,0,primary,10133760000.0,2.0921377697315764,0.24117216801898647,8.817384576e+19
6200,0.6864657998085022,,4523773,tzcobly9,0,primary,10316800000.0,2.0429392507842685,0.24552831555299115,8.97664768e+19
6310,0.752051830291748,,4523773,tzcobly9,0,primary,10499840000.0,1.9977581910670303,0.24988446308699583,9.135910784e+19
6420,0.713560163974762,,4523773,tzcobly9,0,primary,10682880000.0,1.9528112601188008,0.2542406106210005,9.295173888e+19
6530,0.7386468052864075,,4523773,tzcobly9,0,primary,10865920000.0,1.910315504199667,0.2585967581550052,9.454436992e+19
