global_step,step_loss,wandb_step,job_id,run_id,job_order,role,token_exposure
10,7.780694007873535,,4523773,tzcobly9,0,primary,16640000.0
130,6.729353427886963,,4523773,tzcobly9,0,primary,216320000.0
240,5.3396430015563965,,4523773,tzcobly9,0,primary,399360000.0
360,4.4015350341796875,,4523773,tzcobly9,0,primary,599040000.0
480,3.8183975219726562,,4523773,tzcobly9,0,primary,798720000.0
600,3.487004041671753,,4523773,tzcobly9,0,primary,998400000.0
710,3.174640655517578,,4523773,tzcobly9,0,primary,1181440000.0
820,2.9126832485198975,,4523773,tzcobly9,0,primary,1364480000.0
940,2.7888541221618652,,4523773,tzcobly9,0,primary,1564160000.0
1060,2.5957937240600586,,4523773,tzcobly9,0,primary,1763840000.0
1170,2.5418155193328857,,4523773,tzcobly9,0,primary,1946880000.0
1290,2.4567692279815674,,4523773,tzcobly9,0,primary,2146560000.0
1410,2.3185527324676514,,4523773,tzcobly9,0,primary,2346240000.0
1530,2.1106388568878174,,4523773,tzcobly9,0,primary,2545920000.0
1650,1.9439033269882202,,4523773,tzcobly9,0,primary,2745600000.0
1760,1.8529701232910156,,4523773,tzcobly9,0,primary,2928640000.0
1870,1.745095133781433,,4523773,tzcobly9,0,primary,3111680000.0
1900,1.7095638513565063,,4523773,tzcobly9,0,primary,3161600000.0
2020,1.6588497161865234,,4523773,tzcobly9,0,primary,3361280000.0
2130,1.49274480342865,,4523773,tzcobly9,0,primary,3544320000.0
2240,1.4468039274215698,,4523773,tzcobly9,0,primary,3727360000.0
2350,1.4354195594787598,,4523773,tzcobly9,0,primary,3910400000.0
2460,1.4639047384262085,,4523773,tzcobly9,0,primary,4093440000.0
2580,1.3327611684799194,,4523773,tzcobly9,0,primary,4293120000.0
2690,1.199300765991211,,4523773,tzcobly9,0,primary,4476160000.0
2800,1.1653153896331787,,4523773,tzcobly9,0,primary,4659200000.0
2910,1.0718789100646973,,4523773,tzcobly9,0,primary,4842240000.0
3020,1.0585800409317017,,4523773,tzcobly9,0,primary,5025280000.0
3130,1.0126011371612549,,4523773,tzcobly9,0,primary,5208320000.0
3240,0.9707350730895996,,4523773,tzcobly9,0,primary,5391360000.0
3350,0.9788259863853455,,4523773,tzcobly9,0,primary,5574400000.0
3460,0.9494323134422302,,4523773,tzcobly9,0,primary,5757440000.0
3540,0.8721944689750671,,4523773,tzcobly9,0,primary,5890560000.0
3660,0.8916847109794617,,4523773,tzcobly9,0,primary,6090240000.0
3780,0.9468065500259399,,4523773,tzcobly9,0,primary,6289920000.0
3890,0.8649955987930298,,4523773,tzcobly9,0,primary,6472960000.0
4000,0.8884789347648621,,4523773,tzcobly9,0,primary,6656000000.0
4110,0.8535494208335876,,4523773,tzcobly9,0,primary,6839040000.0
4220,0.8280643820762634,,4523773,tzcobly9,0,primary,7022080000.0
4330,0.9044069647789001,,4523773,tzcobly9,0,primary,7205120000.0
4440,0.8613194823265076,,4523773,tzcobly9,0,primary,7388160000.0
4550,0.803543746471405,,4523773,tzcobly9,0,primary,7571200000.0
4660,0.84333735704422,,4523773,tzcobly9,0,primary,7754240000.0
4770,0.8375189900398254,,4523773,tzcobly9,0,primary,7937280000.0
4880,0.7621199488639832,,4523773,tzcobly9,0,primary,8120320000.0
4990,0.7690799236297607,,4523773,tzcobly9,0,primary,8303360000.0
5100,0.7992789149284363,,4523773,tzcobly9,0,primary,8486400000.0
5190,0.7901688814163208,,4523773,tzcobly9,0,primary,8636160000.0
5310,0.8259355425834656,,4523773,tzcobly9,0,primary,8835840000.0
5420,0.7389441728591919,,4523773,tzcobly9,0,primary,9018880000.0
5540,0.7301624417304993,,4523773,tzcobly9,0,primary,9218560000.0
5650,0.7668671011924744,,4523773,tzcobly9,0,primary,9401600000.0
5760,0.7574847340583801,,4523773,tzcobly9,0,primary,9584640000.0
5870,0.7172185182571411,,4523773,tzcobly9,0,primary,9767680000.0
5980,0.7377929091453552,,4523773,tzcobly9,0,primary,9950720000.0
6090,0.7507854104042053,,4523773,tzcobly9,0,primary,10133760000.0
6200,0.6864657998085022,,4523773,tzcobly9,0,primary,10316800000.0
6310,0.752051830291748,,4523773,tzcobly9,0,primary,10499840000.0
6420,0.713560163974762,,4523773,tzcobly9,0,primary,10682880000.0
